Name,Display_Name,Type_1,Type_2,BST,HP,Attack,Defense,Sp_Attack,Sp_Defense,Speed,Ability_1,Ability_2,Ability_3
ABOMASNOW,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,Snow Warning,Soundproof,
ABOMASNOW_MEGA,Abomasnow,Grass,Ice,594,90,132,105,132,105,30,Snow Warning,Snow Warning,Snow Warning
ABRA,Abra,Psychic,,310,25,20,15,105,55,90,Synchronize,Inner Focus,Magic Guard
ABSOL,Absol,Dark,,465,65,130,60,75,60,75,Pressure,Super Luck,Justified
ABSOL_MEGA,Absol,Dark,,565,65,150,60,115,60,115,Magic Bounce,Magic Bounce,Magic Bounce
ACCELGOR,Accelgor,Bug,,495,80,70,40,100,60,145,Hydration,Sticky Hold,Unburden
AEGISLASH_BLADE,Aegislash,Steel,Ghost,220,60,0,50,0,50,60,,,
AEGISLASH_SHIELD,Aegislash,Steel,Ghost,220,60,50,0,50,0,60,,,
AERODACTYL,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,Rock Head,Pressure,Unnerve
AERODACTYL_MEGA,Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,Tough Claws,Tough Claws,Tough Claws
AGGRON,Aggron,Steel,Rock,530,70,110,180,60,60,50,Sturdy,Rock Head,Heavy Metal
AGGRON_MEGA,Aggron,Steel,,630,70,140,230,60,80,50,Filter,Filter,Filter
AIPOM,Aipom,Normal,,360,55,70,55,40,55,85,Run Away,Pickup,Skill Link
ALAKAZAM,Alakazam,Psychic,,405,55,50,45,135,0,120,Synchronize,Inner Focus,Magic Guard
ALAKAZAM_MEGA,Alakazam,Psychic,,495,55,50,65,175,0,150,Trace,Trace,Trace
ALOMOMOLA,Alomomola,Water,,470,165,75,80,40,45,65,Healer,Hydration,Regenerator
ALTARIA,Altaria,Dragon,Flying,490,75,70,90,70,105,80,Natural Cure,Cloud Nine,
ALTARIA_MEGA,Altaria,Dragon,Fairy,590,75,110,110,110,105,80,Pixilate,Pixilate,Pixilate
AMAURA,Amaura,Rock,Ice,362,77,59,50,67,63,46,Refrigerate,Snow Warning,
AMBIPOM,Ambipom,Normal,,482,75,100,66,60,66,115,Technician,Pickup,Skill Link
AMOONGUSS,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,Effect Spore,Regenerator,
